"lab","subject","scenario","attribution","punishment","outcome","prison","mental_inst","free"
1,"1_1","inoperable",0,3,"mental_inst",0,1,0
1,"1_2","inoperable",1,6,"free",0,0,1
1,"1_3","operable",0,3,"mental_inst",0,1,0
1,"1_4","operable",1,2,"mental_inst",0,1,0
1,"1_5","inoperable",0,1,"free",0,0,1
1,"1_6","jealous_rage",1,1,"mental_inst",0,1,0
1,"1_7","jealous_rage",0,6,"mental_inst",0,1,0
1,"1_8","jealous_rage",1,1,"mental_inst",0,1,0
1,"1_9","inoperable",0,4,"prison",1,0,0
1,"1_10","operable",1,2,"prison",1,0,0
1,"1_11","jealous_rage",0,6,"prison",1,0,0
1,"1_12","jealous_rage",1,3,"mental_inst",0,1,0
1,"1_13","operable",0,5,"mental_inst",0,1,0
1,"1_14","operable",1,4,"mental_inst",0,1,0
1,"1_15","inoperable",0,5,"prison",1,0,0
1,"1_16","operable",1,7,"mental_inst",0,1,0
1,"1_17","inoperable",0,3,"free",0,0,1
1,"1_18","jealous_rage",1,3,"free",0,0,1
1,"1_19","inoperable",0,5,"mental_inst",0,1,0
1,"1_20","inoperable",1,7,"prison",1,0,0
1,"1_21","operable",0,5,"free",0,0,1
1,"1_22","jealous_rage",1,2,"mental_inst",0,1,0
1,"1_23","operable",0,5,"free",0,0,1
1,"1_24","jealous_rage",1,3,"free",0,0,1
1,"1_25","inoperable",0,5,"prison",1,0,0
1,"1_26","operable",1,3,"free",0,0,1
1,"1_27","inoperable",0,3,"mental_inst",0,1,0
1,"1_28","operable",1,5,"free",0,0,1
1,"1_29","inoperable",0,7,"mental_inst",0,1,0
1,"1_30","inoperable",1,6,"mental_inst",0,1,0
1,"1_31","operable",0,1,"mental_inst",0,1,0
1,"1_32","inoperable",1,4,"mental_inst",0,1,0
1,"1_33","jealous_rage",0,6,"free",0,0,1
1,"1_34","operable",1,4,"prison",1,0,0
1,"1_35","inoperable",0,5,"mental_inst",0,1,0
1,"1_36","inoperable",1,2,"mental_inst",0,1,0
1,"1_37","operable",0,2,"free",0,0,1
1,"1_38","jealous_rage",1,5,"mental_inst",0,1,0
1,"1_39","operable",0,1,"prison",1,0,0
1,"1_40","operable",1,7,"prison",1,0,0
1,"1_41","operable",0,2,"mental_inst",0,1,0
1,"1_42","operable",1,2,"prison",1,0,0
1,"1_43","inoperable",0,5,"mental_inst",0,1,0
1,"1_44","inoperable",1,2,"mental_inst",0,1,0
